Аккаунт,ID,"Tue, 6. 12:00 ","Tue, 13. 12:00 "
GFI/MONEYMAPLE TECH LTD BRI IDR,1483,3,0
GFI/MONEYMAPLE TECH LTD Mandiri IDR,1485,0,0
 GFI/MONEYMAPLE TECH LTD Permata IDR,1486,0,0
GFI/MONEYMAPLE TECH LTD Dana IDR,1481,0,0
GFI/MONEYMAPLE TECH LTD OVO IDR,1482,6,0
ZT/IP Sopibekova SBP KZT-RUB,4039,0,2
AO T-Bank (ПЛ-ЗЕС-КА-1-12052025 от 13.05.2025),,6,6
PAY365/Яндекс.Игры MTS-RUB,3953,14,0
PAY365/Яндекс.Игры Megafon-RUB,3954,10,1
PAY365/Яндекс.Игры Beeline-RUB,3956,6,0
ZT/Pelican Pay Cards KZT,1648,"2,218","2,762"
ZT/Pelican Pay Payout KZT,4190,274,314
ZT/ТОО MEDICAN PHARMA SBP KZT-RUB,4000,0,2
ZT/IP JanaMen SBP KZT,4192,0,0
ZT/THANOS PAYMENTS SOLUTIONS L.L.C-FZ Payout KZT,4084,0,0
ZT/THANOS PAYMENTS SOLUTIONS L.L.C-FZ KZT,1593,39,34
ZT-Carusell/ATS ATES TUGLA SAN VE TIC LTD STI LLP Cards RUB,1664,0,0
ZT-Carusell/ATS ATES TUGLA SAN VE TIC LTD STI LLP T-Pay RUB,1665,0,0
ZT-Carusell/ATS ATES TUGLA SAN VE TIC LTD STI LLP T-Pay (desktop-QR) RUB,1666,0,0
ZT-Carusell/ATS ATES TUGLA SAN VE TIC LTD STI LLP SberPay RUB,1667,0,0
ZT/ООО «Микрокредитная компания М Булак»,4211,0,0
ZT/LLC Tomur Peak Softwear SBP-RUB,4202,0,0
ZT/LLC Tomur Peak Softwear,4203,0,0
ZT/INGALA Limited (Galaxy) Cards RUB,1729,0,0
ZT/TTS International SBP-RUB,4257,0,0
ZT/VIBESTREAM PAYMENT SERVICES PROVIDER L.L.C Cards KZ,1739,252,216
ZT/VIBESTREAM PAYMENT SERVICES PROVIDER L.L.C Payout KZT,4291,11,14
NP-ZT/CRYSTAL FUTURE OU SberPay RUB,1705,0,0
NP-DPS/CRYSTAL FUTURE OU QRPh PHP,1171,0,0
NP-DPS/CRYSTAL FUTURE OU Maya PHP,1170,0,0
NP-DPS/CRYSTAL FUTURE OU GCash PHP,1169,2,2
NP-D2/CRYSTAL FUTURE OU QRIS IDR,1168,2,2
NP-D2/CRYSTAL FUTURE OU ShopeePay IDR,1167,0,0
ZT/CRYSTAL FUTURE OU (Beeline KZ) KZT,4043,0,0
ZT/PLAYMAG-FZCO Cards KZT,1742,36,35
